smiles,value,unit,measurements,value_std,value_range,is_unstable
C=C1CCCC(C)(C)C1Cc1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,5.29,TEAC,1,0.0,0.0,False
C=C1CCCC(C)(C)C1Cc1c(OC)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,7.23,TEAC,1,0.0,0.0,False
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,0.197,TEAC,1,0.0,0.0,False
CC(=O)OC(CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0.076,TEAC,1,0.0,0.0,False
CC(C)=CCC(O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,0.083,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,0.882,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,0.837,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,0.75,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,0.757,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,0.601,TEAC,1,0.0,0.0,False
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CCCC1(C)C,0.67,TEAC,1,0.0,0.0,False
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,0.077,TEAC,1,0.0,0.0,False
CC1OC(OCC2OC(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)C(O)C(O)C2O)C(O)C(O)C1O,0.27382,TEAC,1,0.0,0.0,False
CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3cc(O)c(O)c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O.[Cl-],9.0,TEAC,1,0.0,0.0,False
CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,2.57,TEAC,1,0.0,0.0,False
CCCCCCNC(=O)C=Cc1ccc(O)c(O)c1,1.11,TEAC,1,0.0,0.0,False
CCCCCCNC(=O)CCc1ccc(O)c(O)c1,1.0,TEAC,1,0.0,0.0,False
CCCCCCOC(=O)C=Cc1ccc(O)c(O)c1,0.97,TEAC,1,0.0,0.0,False
CCCCCCOC(=O)CCc1ccc(O)c(O)c1,0.99,TEAC,1,0.0,0.0,False
CCOC(=O)C=Cc1cc(Br)c(O)c(OC)c1,0.558,TEAC,1,0.0,0.0,False
CCOC(=O)C=Cc1cc(O)c(O)c(Br)c1,0.938,TEAC,1,0.0,0.0,False
CCOC(=O)C=Cc1ccc(O)c(O)c1,0.877,TEAC,1,0.0,0.0,False
COC(=O)C=Cc1ccc(O)c(OC)c1,0.593,TEAC,1,0.0,0.0,False
COc1cc(C(=O)O)ccc1O,0.006,TEAC,1,0.0,0.0,False
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,2.02,TEAC,1,0.0,0.0,False
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O,1.48,TEAC,1,0.0,0.0,False
COc1cc(C=CC(=O)O)cc(OC)c1O,0.862,TEAC,1,0.0,0.0,False
COc1cc(CC(CO)C(CO)Cc2ccc(O)c(OC)c2)ccc1O,0.183,TEAC,1,0.0,0.0,False
COc1cc(CC2C(=O)OCC2Cc2ccc(OC)c(OC)c2)ccc1O,0.085,TEAC,1,0.0,0.0,False
COc1cc(CC2COC(=O)C2Cc2ccc(O)c(OC)c2)ccc1O,0.207,TEAC,1,0.0,0.0,False
COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,0.70072,TEAC,1,0.0,0.0,False
COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,0.073,TEAC,1,0.0,0.0,False
COc1cc(O)ccc1C(=O)C=Cc1ccc(O)c(O)c1,1.82,TEAC,1,0.0,0.0,False
COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O,0.02,TEAC,1,0.0,0.0,False
COc1cc2c(cc1O)CC[n+]1cc3c(OC)c(OC)ccc3cc1-2,0.55,TEAC,1,0.0,0.0,False
COc1cc2ccc(=O)oc2cc1O,0.21,TEAC,1,0.0,0.0,False
COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c2c1CC1C(C)(C)CCCC1(C)O2,7.93,TEAC,1,0.0,0.0,False
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,0.9174,TEAC,1,0.0,0.0,False
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,0.268,TEAC,1,0.0,0.0,False
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O,0.075,TEAC,1,0.0,0.0,False
COc1ccc(C=CC(=O)O)cc1O,1.24,TEAC,1,0.0,0.0,False
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,0.27,TEAC,1,0.0,0.0,False
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,0.029,TEAC,1,0.0,0.0,False
Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,0.042,TEAC,1,0.0,0.0,False
Cc1ccc2c(c1)C1CN(C)CCC1N2,1.56,TEAC,1,0.0,0.0,False
O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)cc1O,2.27,TEAC,1,0.0,0.0,False
O=C(C=Cc1ccc(O)cc1)C1=C(O)C(O)(C2OC(CO)C(O)C(O)C2O)C(=O)C(=CC2=C(O)C(O)(C3OC(CO)C(O)C(O)C3O)C(O)=C(C(=O)C=Cc3ccc(O)cc3)C2=O)C1=O,1.36,TEAC,1,0.0,0.0,False
O=C(C=Cc1ccc(O)cc1)CC(=O)C=Cc1ccc(O)cc1,1.02,TEAC,1,0.0,0.0,False
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,1.24,TEAC,1,0.0,0.0,False
O=C(O)C1OC(Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,1.79,TEAC,1,0.0,0.0,False
O=C(O)C=Cc1cc(O)c(O)c(Br)c1,1.007,TEAC,1,0.0,0.0,False
O=C(O)C=Cc1ccc(O)cc1,1.44,TEAC,1,0.0,0.0,False
O=C(O)c1c(O)c(O)c2c(c1O)C(=O)c1ccccc1C2=O,1.7,TEAC,1,0.0,0.0,False
O=C(O)c1cc(O)c(O)c(O)c1,3.92,TEAC,1,0.0,0.0,False
O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,0.056,TEAC,1,0.0,0.0,False
O=C(O)c1ccc(O)c(O)c1,1.29,TEAC,1,0.0,0.0,False
O=C(O)c1ccccc1,0.006,TEAC,1,0.0,0.0,False
O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,6.09,TEAC,1,0.0,0.0,False
O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,5.26,TEAC,1,0.0,0.0,False
O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC(C2O)C1O)c1cc(O)c(O)c(O)c1,6.98,TEAC,1,0.0,0.0,False
O=C(Oc1cc(C2Oc3cc(O)cc(O)c3CC2O)ccc1O)c1cc(O)c(O)c(O)c1,5.56,TEAC,1,0.0,0.0,False
O=C1C=CC(=O)c2c(O)cccc21,0.088,TEAC,1,0.0,0.0,False
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0.136,TEAC,1,0.0,0.0,False
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,2.31556,TEAC,1,0.0,0.0,False
O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,0.044,TEAC,1,0.0,0.0,False
O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,2.0,TEAC,1,0.0,0.0,False
O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,0.035,TEAC,1,0.0,0.0,False
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,1.05,TEAC,1,0.0,0.0,False
O=C1c2ccccc2C(=O)c2c1ccc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c2O,0.07,TEAC,1,0.0,0.0,False
O=C1c2ccccc2C(=O)c2ccccc21,0.002,TEAC,1,0.0,0.0,False
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0.095,TEAC,1,0.0,0.0,False
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0.033,TEAC,1,0.0,0.0,False
O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,0.026,TEAC,1,0.0,0.0,False
O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12,0.035,TEAC,1,0.0,0.0,False
O=c1c(-c2ccccc2)coc2ccccc12,0.001,TEAC,1,0.0,0.0,False
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,1.38,TEAC,1,0.0,0.0,False
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.6,TEAC,1,0.0,0.0,False
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1.32,TEAC,1,0.0,0.0,False
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,0.705,TEAC,1,0.0,0.0,False
O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.151,TEAC,1,0.0,0.0,False
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.24,TEAC,1,0.0,0.0,False
O=c1cc(-c2ccc(O)cc2)oc2c(C3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12,0.205,TEAC,1,0.0,0.0,False
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.041,TEAC,1,0.0,0.0,False
O=c1cc(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,0.05,TEAC,1,0.0,0.0,False
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,2.74,TEAC,1,0.0,0.0,False
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,0.053,TEAC,1,0.0,0.0,False
O=c1ccc2cc(O)c(O)cc2o1,2.08,TEAC,1,0.0,0.0,False
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,5.94,TEAC,1,0.0,0.0,False
Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1,2.35,TEAC,1,0.0,0.0,False
Oc1ccc(-c2ccc3c(O)cc(O)cc3[o+]2)cc1.[Cl-],9.67165,TEAC,1,0.0,0.0,False
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,1.71,TEAC,1,0.0,0.0,False
